Text,Question
Dyou hear shell gallop!,0
But why he was always asking  himself why had such an important such a decisive and at the same time  such an absolutely chance meeting happened in the Hay Market (where he  had moreover no reason to go) at the very hour the very minute of his  life when he was just in the very mood and in the very circumstances  in which that meeting was able to exert the gravest and most decisive  influence on his whole destiny?,1
Where is the highest point in Japan,1
I havent been quite well,0
He relied on Andrey Semyonovitch for this and before  his visit to Raskolnikov he had succeeded in picking up some current  phrases,0
Well here Ive come to tell you,0
What s distinctive about a palmiped s feet,1
I set to work that very day,0
Then many of the Jews which came to Mary and had seen the things which  Jesus did believed on Him,0
He was preoccupied with something else and  even Lebeziatnikov at last noticed it,0
What does NN O `` mean when used as a prefix in Irish surnames,1
What is the mascot for Notre Dame University,1
What do Christian Scientists believe in,1
I knew that I could never bring myself  to it so what have I been torturing myself for till now?,1
How much did Manchester United spend on players in 1993,1
But she herself was like  one insane and felt it,0
It has acted violently Svidrigaïlov muttered to himself frowning,0
What four forms does gold occur in,1
So that indeed its not humiliating,0
What do you call a section of your finger from one joint to another,1
Youll  forbid it?,1
Whether there is such a  thing as crime,0
Then who can have latched the door?,1
But tell me this: how do you distinguish those extraordinary  people from the ordinary ones?,1
Of course youre  right too,0
Thy sins  which are many are forgiven thee for thou hast loved much,0
I went security for you  brother,0
What does it take to become a lawyer,1
Dont be in a hurry about Mitka!,0
Where do lobsters like to live,1
His strength was failing him again,0
The  furniture all very old and of yellow wood consisted of a sofa with  a huge bent wooden back an oval table in front of the sofa a  dressing-table with a looking-glass fixed on it between the windows  chairs along the walls and two or three half-penny prints in yellow  frames representing German damsels with birds in their hands--that was  all,0
Amalia Ivanovna was foreseeing something amiss and at the same time  deeply wounded by Katerina Ivanovnas haughtiness and to restore the  good-humour of the company and raise herself in their esteem she began  apropos of nothing telling a story about an acquaintance of hers Karl  from the chemists who was driving one night in a cab and that the  cabman wanted him to kill and Karl very much begged him not to kill  and wept and clasped hands and frightened and from fear pierced his  heart,0
Theres nothing in it that is really nothing  and perhaps absolutely nothing,0
Comes and asks why didnt you take me long  ago?,1
What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger,1
What are other ways of getting stretch marks besides pregnancy  weight loss  and weight lifting,1
Esteeming and so to say adoring you  I may at the same time very well indeed be able to dislike some member  of your family,0
Why do you know who killed her?,1
she repeated beside herself,0
are a slanderer thats what my words mean!,0
Quite so but what drove him or rather perhaps disposed him  to suicide was the systematic persecution and severity of Mr,0
I know and thats enough!,0
The old man made  no answer and for a long while could not understand what he was asked  though his neighbours amused themselves by poking and shaking him,0
Drenched to the skin he walked into the little flat where  the parents of his betrothed lived in Third Street in Vassilyevsky  Island,0
You gave us everything yesterday Sonia said suddenly in reply in a  loud rapid whisper; and again she looked down in confusion,0
What was the name of the Protestant revolt against the supremacy of the Pope,1
There were women of forty and some  not more than seventeen; almost all had blackened eyes,0
I shall be a religious maniac myself soon!,0
I am ready Ill be responsible,0
What country are you in if you woo in the Wu dialect,1
The  community is established that there should be no such rôles,0
Who directed the first Woody Woodpecker cartoon,1
But you are spattered with blood observed Nikodim Fomitch noticing  in the lamplight some fresh stains on Raskolnikovs waistcoat,0
I dare say,0
And to be sure youre  right: God has given me a figure that can awaken none but comic ideas in  other people; a buffoon; but let me tell you and I repeat it excuse  an old man my dear Rodion Romanovitch you are a man still young so to  say in your first youth and so you put intellect above everything like  all young people,0
Or it would be simpler and more comprehensible to say ill,0
She turned abruptly and went towards the door,0
Well they took him to that police station--that is  here--with a suitable escort,0
Rodion  Romanovitch why dont you stand up for her?,1
He was simply startled but was quickly instantly on his guard,0
On average  how many miles are there to the moon,1
What is 55 times sweeter than cane sugar,1
The tavern the degraded  appearance of the man the five nights in the hay barge and the pot of  spirits and yet this poignant love for his wife and children bewildered  his listener,0
Katerina Ivanovna?,1
What is the most useful site on the Internet,1
Kindly leave at once and  everything is at an end between us!,0
You might well  hesitate he-he!,0
But he went on,0
If you mean that for me,0
What God sends,0
or you are simply laughing at me,0
well the medal of course was sold--long ago hm,0
And that only because it has been  worn,0
Ah here is my coat--they passed that  over!,0
This familiar what do you want seemed to cut the ground from the  feet of the pompous gentleman,0
If only you knew though  what a strange thing you said just now mother he said laughing  strangely,0
I had  a serf Filka; just after his burial I called out forgetting Filka my  pipe!,0
From what cause does tuberculosis stem,1
Who served as inspiration for the schoolteacher portrayed by Robin Williams in `` Dead Poets Society,1
He made a violent effort to understand what it all  meant,0
Or maybe you are drunk!,0
Stuart Hamblen is considered to be the first singing cowboy of what,1
When did Nixon visit China,1
Quite possibly Raskolnikov answered contemptuously,0
Strikingly so,0
He lay down and pulled the  quilt over him,0
Raskolnikov listened greedily,0
She hesitated,0
He got  two roubles from her and went into a miserable little tavern on his way  home,0
Come brother,0
And she almost crying herself--which did not stop her uninterrupted  rapid flow of talk--pointed to the crying children,0
When  I can Ill come of myself or,0
I will go myself to Porfiry,0
What exactly is the purpose of the anteater,1
They too had got up to  go home but were lingering in conversation with a friend who had just  come up to them,0
What was Marilyn Monroe s real name,1
Be silent Katerina Ivanovna cried irritably you know why she is  barefooted,0
What soft drink not only has its own video game  but was featured in its own Marvel comic book,1
As soon as he got the rouble he changed it had a couple of glasses  took his change and went out,0
He walked along the canal bank and he had not much further to go,0
And as for his being able to manage it  theres no doubt about that either,0
What sport is known for hooligans,1
Her cough choked her--but her reproaches were not without result,0
I found out that they had nothing of their  own and had come to town upon some legal business,0
Here are  thirty-five roubles; I take ten of them and shall give you an account  of them in an hour or two,0
What is an auto-commentary,1
There was no doubt that  she was dead,0
Who turned all he touched to gold,1
He remembered that Katerina Ivanovnas funeral had been fixed for that  day and was glad that he was not present at it,0
Excuse me Ive very little wit myself Razumihin cut in sharply  and so let us drop it,0
What is Chiricahua the name of,1
Dont be a child  Sonia,0
Something peculiar betrayed itself in the very intonation of his voice,0
He vividly recalled  those old doubts and perplexities and it seemed to him that it was  no mere chance that he recalled them now,0
No reason to; but take note that the mistake can only arise in  the first category that is among the ordinary people (as I perhaps  unfortunately called them),0
Her face and her whole figure indeed had another  peculiar characteristic,0
At  night I had no light I lay in the dark and I wouldnt earn money for  candles,0
At the time he had put no  faith in those dreams and was only tantalising himself by their hideous  but daring recklessness,0
So that it sometimes is hard for a  poor examining lawyer to know where he is especially when hes liable  to be carried away by his own fancy too for you know he is a man after  all!,0
Yes yes!,0
Razumihin whispered furiously  seizing Raskolnikov by the shoulder,0
If he had only  turned round on his way he might have seen Svidrigaïlov get out not a  hundred paces off dismiss the cab and walk along the pavement,0
The bell gave a faint tinkle as though it were made of  tin and not of copper,0
Hey there!,0
Anyway he must decide on something or else,0
You seem to  be offended sister at my making only such a frivolous criticism on the  letter and to think that I speak of such trifling matters on purpose to  annoy you,0
He wondered how he could have been wandering for a good half-hour  worried and anxious in this dangerous past without thinking of it  before,0
Its I,0
Raskolnikov had for some time been wanting to go and he had meant to  help him,0
His white lips were  faintly twitching,0
What splendid words  they have; they are so scientific so consolatory,0
What is Supergirl s secret identity,1
asked Avdotya Romanovna alarmed,0
Who is the fastest swimmer in the world,1
How old is Jeremy Piven,1
His head ached he stood up took a turn in  his garret and sank back on the sofa again,0
He did not even feel the fetters,0
So I suspect now that Nikolay wants to take his suffering or something  of the sort,0
Sonia I have a bad heart take note of that,0
What are those little blue reflectors in the middle of the road for,1
You are a gambler I believe?,1
They were both silent,0
Does he  know I am following him?,1
Why is Jane Goodall famous,1
Ah the sly dog!,0
Do sit down,0
But we know all who had pledges and you are the only one who hasnt  come forward Porfiry answered with hardly perceptible irony,0
Strange to  say none would have believed it perhaps but he only felt a faint vague  anxiety about his immediate future,0
He fell down before her he kissed her  feet and both wept embracing,0
What is the amount of money owed for illegally having a dog on a beach,1
But why are you so shamefaced about it?,1
I am getting a relish for certain aspects!,0
Thats as it should  be they tell us,0
He recalled how at that  instant he felt almost sorry for her how he had felt a pang at his  heart,0
A final rupture took  place and he was turned out of the house,0
This seemed to amaze him; he somehow fancied that he  would find everything as he left it even perhaps the corpses in the  same places on the floor,0
Didnt I?,1
But it was not the horrors of prison life not  the hard labour the bad food the shaven head or the patched clothes  that crushed him,0
It was the day before I left to  come here,0
I have not seen him since,0
Razumihin cried hastily,0
What day is August 13  1971,1
My landlady is a good-hearted woman but she is so  exasperated at my having lost my lessons and not paying her for the  last four months that she does not even send up my dinner,0
Had he anything  to fear from them?,1
what prophet are you?,1
Strange man!,0
asked Dounia rather strangely,0
What company tabulates the ballots in voting for the Academy Awards,1
Lizaveta was younger than the old woman and was her half-sister  being the child of a different mother,0
Well good-bye for the present,0
and her breathing too,0
You yourself mademoiselle probably will not refuse to confirm  my statement that I invited you through Mr,0
No lock no bolt  all the time all that time!,0
Of course I am an ass he observed sombre as a storm cloud but  still,0
